Player,Category,total_score,seasons_played,avg_score,team
Joe Lolley,FW,0.0010960159510941,1,0.0010960159510941,Huddersfield
Brandon Pierrick,FW,0.0010958600066132,1,0.0010958600066132,Crystal Palace
Marvin Emnes,FW,0.0010841019520878,1,0.0010841019520878,Swansea
Abdul Fatawu Issahaku,FW,0.0010830314094492,1,0.0010830314094492,Leicester
Jordan Clark,FW,0.0010767342368258,1,0.0010767342368258,Luton
Luis Guilherme,FW,0.0010746873929741,1,0.0010746873929741,West Ham
Tokelo Rantie,FW,0.0010745973549184,1,0.0010745973549184,Bournemouth
Joe Allen,FW,0.0010724653437919,1,0.0010724653437919,Stoke City
Troy Parrott,FW,0.0010689828447216,1,0.0010689828447216,Tottenham
Adrien Silva,FW,0.0010599288279095,1,0.0010599288279095,Leicester
Justin Devenny,FW,0.0010534586101548,1,0.0010534586101548,Crystal Palace
Davy Klaassen,FW,0.0010495685098502,1,0.0010495685098502,Everton
Pierre Lees Melou,FW,0.0010473802792825,1,0.0010473802792825,Norwich
Josh Martin,FW,0.0010378960619661,1,0.0010378960619661,Norwich
Carlos Soler,FW,0.0010372334979943,1,0.0010372334979943,West Ham
Przemysław Płacheta,FW,0.0010342414503982,1,0.0010342414503982,Norwich
Modibo Maiga,FW,0.0010284833799264,1,0.0010284833799264,West Ham
Víctor Camarasa,FW,0.0010269644903647,1,0.0010269644903647,Cardiff
Markus Henriksen,FW,0.0010266986089253,1,0.0010266986089253,Hull City
Víctor Ibarbo,FW,0.001019750745226,1,0.001019750745226,Watford
Peter Odemwingie,FW,0.0010151268842266,1,0.0010151268842266,Stoke City
Brenden Aaronson,FW,0.0010144529002794,1,0.0010144529002794,Leeds
Theo Corbeanu,FW,0.0010116225894288,1,0.0010116225894288,Wolves
Steven Berghuis,FW,0.0010108663119134,1,0.0010108663119134,Watford
Steven Pienaar,FW,0.0010105181243206,1,0.0010105181243206,Sunderland
Jaden Philogene-Bidace,FW,0.001008374666404,1,0.001008374666404,Ipswich
Gary Madine,FW,0.0010046775859081,1,0.0010046775859081,Cardiff
Emmanuel Rivière,FW,0.0009970220966811,1,0.0009970220966811,Newcastle
Luca Koleosho,FW,0.0009959193606905,1,0.0009959193606905,Burnley
Samuel Kalu,FW,0.0009884751866267,1,0.0009884751866267,Watford
Danny Graham,FW,0.0009637587586302,1,0.0009637587586302,Sunderland
Igor Thiago,FW,0.0009627846818576,1,0.0009627846818576,Brentford
Marc Guiu,FW,0.0009508210507283,1,0.0009508210507283,Chelsea
Chung-yong Lee,FW,0.0009505794567931,1,0.0009505794567931,Crystal Palace
Dennis Praet,FW,0.0009498705663624,1,0.0009498705663624,Leicester
Mark Noble,FW,0.0009486667694481,1,0.0009486667694481,West Ham
Joel Mumbongo,FW,0.0009446769184456,1,0.0009446769184456,Burnley
Cheikhou Kouyaté,FW,0.0009440531009387,1,0.0009440531009387,West Ham
Alejo Véliz,FW,0.0009365523212908,1,0.0009365523212908,Tottenham
Manuel Benson,FW,0.000935586865205,1,0.000935586865205,Burnley
Rushian Hepburn-Murphy,FW,0.0009350223009838,1,0.0009350223009838,Aston Villa
Jonjo Shelvey,FW,0.0009316770186335,1,0.0009316770186335,Newcastle
Leon Clarke,FW,0.0009316770186335,1,0.0009316770186335,Sheffield Utd
Max Thompson,FW,0.0009316770186335,1,0.0009316770186335,Burnley
Moussa Djenepo,FW,0.0009316770186335,1,0.0009316770186335,Southampton
Xande Silva,FW,0.0009311809594048,1,0.0009311809594048,West Ham
Andi Zeqiri,FW,0.0009294536866363,1,0.0009294536866363,Brighton
Jordon Mutch,FW,0.0009198693691938,1,0.0009198693691938,Crystal Palace
Todd Cantwell,FW,0.0009184369297041,1,0.0009184369297041,Norwich
Abdelhamid Sabiri,FW,0.0009146341463414,1,0.0009146341463414,Huddersfield
Sam Gallagher,FW,0.0009146341463414,1,0.0009146341463414,Southampton
Tyreke Johnson,FW,0.0009146341463414,1,0.0009146341463414,Southampton
Mark O'Mahony,FW,0.0008997494954396,1,0.0008997494954396,Brighton
Andrej Kramarić,FW,0.0008914471953716,1,0.0008914471953716,Leicester
Deivid Washington,FW,0.0008864567524625,1,0.0008864567524625,Chelsea
Yoan Gouffran,FW,0.0008850583037936,1,0.0008850583037936,Newcastle
Kobbie Mainoo,FW,0.0008729933056708,1,0.0008729933056708,Manchester United
Jonathan Rowe,FW,0.0008664648269012,1,0.0008664648269012,Norwich
André Zambo Anguissa,FW,0.0008571428571428,1,0.0008571428571428,Fulham
Grady Diangana,FW,0.0008571428571428,1,0.0008571428571428,West Brom
Joshua Onomah,FW,0.0008571428571428,1,0.0008571428571428,Fulham
Kyle Edwards,FW,0.0008571428571428,1,0.0008571428571428,West Brom
Niall Huggins,FW,0.0008571428571428,1,0.0008571428571428,Leeds
Nélson Semedo,FW,0.0008571428571428,1,0.0008571428571428,Wolves
Owen Otasowie,FW,0.0008571428571428,1,0.0008571428571428,Wolves
Vitinha,FW,0.0008571428571428,1,0.0008571428571428,Wolves
Chem Campbell,FW,0.0008570074231865,1,0.0008570074231865,Wolves
Gabriel Obertan,FW,0.0008522727272727,1,0.0008522727272727,Newcastle
Gary Hooper,FW,0.0008522727272727,1,0.0008522727272727,Norwich
James Wilson,FW,0.0008522727272727,1,0.0008522727272727,Manchester United
