Player,Team,fotmob_rating,minutes,matches,goals_per90,sot_per90,passes_per90,tackles_per90,interceptions_per90,blocks_per90,saves_per90,yellow_cards,red_cards,pens_conceded,assists_per90,big_chances_created_per90,Player_key,Team_key,Category,Score
Declan Rice,Arsenal,7.66,3230,38,0.2,0.6,56.3,1.4,1.2,0.3,0.0,5.0,0.0,2.0,0.2229102167182662,0.2507739938080495,declan rice,arsenal,MF,0.0158349381015758
Erling Haaland,Manchester City,7.64,2556,31,0.95,2.1,10.4,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.176056338028169,0.2112676056338028,erling haaland,manchester city,FW,0.0217845546565875
Mohamed Salah,Liverpool,7.64,2535,32,0.64,2.0,25.1,0.4,0.1,0.0,0.0,2.0,0.0,0.0,0.3550295857988166,0.7810650887573964,mohamed salah,liverpool,FW,0.0308536460366325
Martin Ødegaard,Arsenal,7.64,3098,35,0.23,0.7,47.9,0.5,0.4,0.0,0.0,2.0,0.0,0.0,0.2905100064557779,0.4938670109748224,martin odegaard,arsenal,MF,0.0177929083302822
Eberechi Eze,Crystal Palace,7.6,2065,27,0.48,1.5,28.9,0.7,0.5,0.1,0.0,3.0,0.0,1.0,0.1743341404358353,0.3050847457627118,eberechi eze,crystal palace,MF,0.0038280427816129
Eberechi Eze,Crystal Palace,7.6,2065,27,0.48,1.5,28.9,0.7,0.5,0.1,0.0,3.0,0.0,1.0,0.1743341404358353,0.3050847457627118,eberechi eze,crystal palace,FW,0.0114574068234709
Bernardo Silva,Manchester City,7.57,2581,33,0.21,0.5,56.9,0.8,0.6,0.1,0.0,8.0,0.0,0.0,0.3138318481208834,0.4533126695079427,bernardo silva,manchester city,MF,0.0137426597170221
Bernardo Silva,Manchester City,7.57,2581,33,0.21,0.5,56.9,0.8,0.6,0.1,0.0,8.0,0.0,0.0,0.3138318481208834,0.4533126695079427,bernardo silva,manchester city,FW,0.0052175755668403
Trent Alexander-Arnold,Liverpool,7.57,2159,28,0.13,0.3,55.9,1.1,1.3,0.1,0.0,6.0,0.0,0.0,0.1667438628994905,0.7086614173228346,trent alexander-arnold,liverpool,DF,0.0071168383995785
Josko Gvardiol,Manchester City,7.53,2328,28,0.15,0.5,59.1,1.3,1.0,0.5,0.0,3.0,0.0,0.0,0.0386597938144329,0.0773195876288659,josko gvardiol,manchester city,DF,0.0084345469027136
Alexis Mac Allister,Liverpool,7.51,2609,33,0.17,0.3,58.4,1.9,1.2,0.3,0.0,7.0,1.0,0.0,0.1724798773476427,0.1034879264085856,alexis mac allister,liverpool,MF,0.0132121905894719
Conor Gallagher,Chelsea,7.5,3135,37,0.14,0.5,50.7,1.5,1.2,0.3,0.0,7.0,1.0,0.0,0.200956937799043,0.3157894736842105,conor gallagher,chelsea,MF,0.0146769764121581
Andrew Robertson,Liverpool,7.48,1691,23,0.16,0.4,58.1,1.3,0.7,0.3,0.0,2.0,0.0,0.0,0.1064458900059136,0.5322294500295683,andrew robertson,liverpool,DF,0.0045317293867082
Julián Álvarez,Manchester City,7.47,2657,36,0.37,1.4,33.1,0.4,0.1,0.0,0.0,2.0,0.0,0.0,0.304855099736545,0.2371095220173127,julian alvarez,manchester city,MF,0.0084026216117173
Julián Álvarez,Manchester City,7.47,2657,36,0.37,1.4,33.1,0.4,0.1,0.0,0.0,2.0,0.0,0.0,0.304855099736545,0.2371095220173127,julian alvarez,manchester city,FW,0.0097392418560548
Ollie Watkins,Aston Villa,7.4,3221,37,0.53,1.3,12.7,0.2,0.1,0.1,0.0,4.0,0.0,0.0,0.3632412294318535,0.3073579633654145,ollie watkins,aston villa,FW,0.025613270030073
Virgil van Dijk,Liverpool,7.39,3178,36,0.06,0.4,74.4,0.7,1.1,1.0,0.0,3.0,1.0,0.0,0.0566393958464443,0.0849590937696664,virgil van dijk,liverpool,DF,0.0077983599466775
Kyle Walker,Manchester City,7.36,2767,32,0.0,0.1,62.8,0.8,0.9,0.2,0.0,2.0,0.0,0.0,0.1301048066498012,0.2276834116371521,kyle walker,manchester city,DF,0.0075563924350878
Kyle Walker,Manchester City,7.36,2767,32,0.0,0.1,62.8,0.8,0.9,0.2,0.0,2.0,0.0,0.0,0.1301048066498012,0.2276834116371521,kyle walker,manchester city,MF,0.0007551876926827
Jérémy Doku,Manchester City,7.32,1593,29,0.17,1.1,38.2,1.2,0.5,0.0,0.0,3.0,0.0,0.0,0.4519774011299435,0.2824858757062147,jeremy doku,manchester city,MF,0.0064633020437801
Jérémy Doku,Manchester City,7.32,1593,29,0.17,1.1,38.2,1.2,0.5,0.0,0.0,3.0,0.0,0.0,0.4519774011299435,0.2824858757062147,jeremy doku,manchester city,FW,0.0030648695891698
