Player,Score,Category,team
Ben Davies,0.003975829682666388,DF,Tottenham
Diogo Dalot,0.010283209312658269,DF,Manchester United
Angelo Ogbonna,0.002551445415879151,DF,West Ham
Toti Gomes,0.008141548551239192,DF,Wolves
Adam Webster,0.004796604294051738,DF,Brighton
Tosin Adarabioyo,0.006126661955488624,DF,Fulham
Issa Kaboré,0.0023650160150210323,DF,Luton
Ryan Giles,0.0009026613133322526,DF,Luton
Jarrad Branthwaite,0.014192961685709608,DF,Everton
Matt Targett,0.0008520970270343925,DF,Newcastle
Joël Matip,0.0031910279726845457,DF,Liverpool
Jarell Quansah,0.004378085250942549,DF,Liverpool
Jayden Bogle,0.003950813137533768,DF,Sheffield Utd
Harry Maguire,0.006849175330861364,DF,Manchester United
Jonny Evans,0.00526255301914239,DF,Manchester United
Ben Mee,0.005241826169955973,DF,Brentford
Tariq Lamptey,0.0021557138612850572,DF,Brighton
Jamaal Lascelles,0.003947352752808387,DF,Newcastle
Gonzalo Montiel,0.0030677079358743696,DF,Nottingham Forest
Nuno Tavares,0.0015334545881475013,DF,Nottingham Forest
Alfie Doughty,0.0020556643209290256,DF,Luton
Timothy Castagne,0.009610214360042323,DF,Fulham
Luke Thomas,0.001313189276874629,DF,Sheffield Utd
Ben Godfrey,0.005083002766504538,DF,Everton
Ben Chilwell,0.0017910278475877007,DF,Chelsea
Chris Richards,0.00521580398879243,DF,Crystal Palace
Vitaliy Mykolenko,0.00938673038232089,DF,Everton
Sergio Reguilón,0.0037921661190828014,DF,Brentford
Ola Aina,0.005124408753666975,DF,Nottingham Forest
Auston Trusty,0.009281064768639928,DF,Sheffield Utd
Matt Doherty,0.0013564552613638267,DF,Wolves
Serge Aurier,0.0027031998991336936,DF,Nottingham Forest
Lewis Hall,0.003121850563857962,DF,Newcastle
Adam Smith,0.005894673241510981,DF,Bournemouth
Marc Cucurella,0.007748598280660955,DF,Chelsea
Sofyan Amrabat,0.0011573544319951798,DF,Manchester United
Murillo,0.010445013915804312,DF,Nottingham Forest
Harry Toffolo,0.005210152979338131,DF,Nottingham Forest
Konstantinos Mavropanos,0.005636012887230536,DF,West Ham
Jonny Otto,0.0007156808181646015,DF,Wolves
John Stones,0.0020317356970436283,DF,Manchester City
Igor Júlio,0.005457348300124472,DF,Brighton
Solly March,0.001590966321656268,DF,Brighton
Nathaniel Clyne,0.0031610945509253406,DF,Crystal Palace
Vitaly Janelt,0.0017149150476327016,DF,Brentford
Reece James,0.0021907187028303485,DF,Chelsea
George Baldock,0.0032415067803625132,DF,Sheffield Utd
Gabriel Osho,0.007344814256043123,DF,Luton
Aaron Cresswell,0.0015475088809066796,DF,West Ham
Pascal Groß,0.001455557112659898,DF,Brighton
Eric Dier,0.0011301652424718744,DF,Tottenham
Emil Krafth,0.00313377751390298,DF,Newcastle
Saman Ghoddos,0.001705747982347366,DF,Brentford
Santiago Bueno,0.0033696279163548124,DF,Wolves
Paul Dummett,0.0007161866884264384,DF,Newcastle
Alex Murphy,0.0007215039379225813,DF,Newcastle
Benoît Badiashile,0.00576278713047185,DF,Chelsea
Álex Moreno,0.0031512312329825517,DF,Aston Villa
Hjalmar Ekdal,0.0019183465808662,DF,Burnley
Jack Hinshelwood,0.0014715660797579096,DF,Brighton
Felipe,0.0019014325409071773,DF,Nottingham Forest
Séamus Coleman,0.0033357242798867865,DF,Everton
Fodé Ballo-Touré,0.0008140020490136948,DF,Fulham
Max Lowe,0.0015190598992081599,DF,Sheffield Utd
Dango Ouattara,0.0027917862269174762,DF,Bournemouth
Daiki Hashioka,0.002065064717753257,DF,Luton
Dwight McNeil,0.0010711389255125404,DF,Everton
Clément Lenglet,0.004513458459289154,DF,Aston Villa
Ben Johnson,0.0012488842330668163,DF,West Ham
Willy Kambwala,0.0016683046349742505,DF,Manchester United
Alfie Gilchrist,0.0012077671870180146,DF,Chelsea
Rhys Norrington-Davies,0.0007849133733506163,DF,Sheffield Utd
Conor Bradley,0.0026530727324209705,DF,Liverpool
Owen Beck,0.0007214701106225127,DF,Liverpool
Andrew Omobamidele,0.0033403132092775798,DF,Nottingham Forest
Radu Drăguşin,0.0020160855425495955,DF,Tottenham
Daniel Muñoz,0.001634932519640617,DF,Crystal Palace
Lorenz Assignon,0.005225751194066123,DF,Burnley
Maxime Estève,0.0058815736296597984,DF,Burnley
Mason Holgate,0.003103989907218315,DF,Sheffield Utd
Cédric Soares,0.0007238259993408584,DF,Arsenal
Trevoh Chalobah,0.004148696124803148,DF,Chelsea
Calum Chambers,0.0007797307488057695,DF,Aston Villa
Josh Acheampong,0.0007353351607525828,DF,Chelsea
Valentín Barco,0.0018751151811898389,DF,Brighton
Odeluga Offiah,0.0008951239000263182,DF,Brighton
Casemiro,0.0034113656255864867,DF,Manchester United
Kaine Kesler-Hayden,0.0007075471698113208,DF,Aston Villa
Lewis Cook,0.0011184326589710476,DF,Bournemouth
Jefferson Lerma,0.002336606714804538,DF,Crystal Palace
Joseph Johnson,0.0007602259099818679,DF,Luton
Jacob Murphy,0.000994449902560426,DF,Newcastle
Ben Osborn,0.0008235360565506674,DF,Sheffield Utd
Vinícius Souza,0.0011576935972106828,DF,Sheffield Utd
Sam Curtis,0.0007293101085776477,DF,Sheffield Utd
Oliver Skipp,0.0008728961810442199,DF,Tottenham
Kaelan Casey,0.0007075471698113208,DF,West Ham
Jakub Moder,0.000934602591911665,DF,Brighton
Finley Munroe,0.0007076349971689018,DF,Aston Villa
Luca Koleosho,0.001802823030723449,MF,Burnley
Sander Berge,0.00925170912921696,MF,Burnley
Josh Cullen,0.008276888005381197,MF,Burnley
Lyle Foster,0.0012491131124611017,MF,Burnley
Josh Brownhill,0.006533369298025237,MF,Burnley
Nathan Redmond,0.0006075320266184733,MF,Burnley
Kevin De Bruyne,0.00800345456412108,MF,Manchester City
Rodri,0.021285162941991013,MF,Manchester City
Bernardo Silva,0.012827226989455036,MF,Manchester City
Julián Álvarez,0.007528650507149789,MF,Manchester City
Phil Foden,0.011943031106082263,MF,Manchester City
Mateo Kovačić,0.008555706753147704,MF,Manchester City
Cole Palmer,0.008890949694907184,MF,Chelsea
James McAtee,0.0027286893559441304,MF,Sheffield Utd
Martin Ødegaard,0.01758996370806136,MF,Arsenal
Declan Rice,0.01573245304083311,MF,Arsenal
Kai Havertz,0.005549348525690018,MF,Arsenal
Serge Aurier,0.001275849286005954,MF,Nottingham Forest
Ryan Yates,0.004353344970659475,MF,Nottingham Forest
Orel Mangala,0.003912223908286815,MF,Nottingham Forest
Ola Aina,0.000697381143006832,MF,Nottingham Forest
Cheikhou Kouyaté,0.0006845122249087532,MF,Nottingham Forest
Philip Billing,0.0036716156689875026,MF,Bournemouth
Joe Rothwell,0.0014281290833678647,MF,Bournemouth
David Brooks,0.0008529189405193069,MF,Bournemouth
Ryan Christie,0.008745416488894393,MF,Bournemouth
Jaidon Anthony,0.0005886202121689561,MF,Bournemouth
Tomáš Souček,0.0049259430458545046,MF,West Ham
Lucas Paquetá,0.007382897931728244,MF,West Ham
Jarrod Bowen,0.002711896297973243,MF,West Ham
Pablo Fornals,0.0010142619876967749,MF,West Ham
Saïd Benrahma,0.0009596481571710314,MF,West Ham
Pascal Groß,0.017393169203098875,MF,Brighton
Mahmoud Dahoud,0.002406341060904386,MF,Brighton
Solly March,0.0014140215636872476,MF,Brighton
João Pedro,0.003273801927690252,MF,Brighton
Kaoru Mitoma,0.00501447699565611,MF,Brighton
Billy Gilmour,0.011088079335870207,MF,Brighton
Issa Kaboré,0.002497840231723468,MF,Luton
Pelly Ruddock Mpanzu,0.0019580821566416405,MF,Luton
Marvelous Nakamba,0.0029610769245131427,MF,Luton
Tahith Chong,0.001249014466309534,MF,Luton
Ryan Giles,0.000974600927662391,MF,Luton
Alfie Doughty,0.007799763977611776,MF,Luton
Luke Berry,0.0007207051119055487,MF,Luton
James Garner,0.007607343569559822,MF,Everton
Idrissa Gueye,0.00484862486736304,MF,Everton
Amadou Onana,0.005130304615105068,MF,Everton
Alex Iwobi,0.007298955384197893,MF,Fulham
Harrison Reed,0.003916388298842128,MF,Fulham
Saša Lukić,0.003028945250578495,MF,Fulham
Tom Cairney,0.005377714149392945,MF,Fulham
Andreas Pereira,0.009286416514303567,MF,Fulham
George Baldock,0.0008606207357240148,MF,Sheffield Utd
Chris Basham,0.0005541974368022364,MF,Sheffield Utd
Oliver Norwood,0.004740691712005706,MF,Sheffield Utd
Ben Osborn,0.0025054056883188217,MF,Sheffield Utd
Max Lowe,0.0005932068602910786,MF,Sheffield Utd
Anis Ben Slimane,0.0007391876160125473,MF,Sheffield Utd
Vinícius Souza,0.004542510010537492,MF,Sheffield Utd
Andre Brooks,0.0012048183547256545,MF,Sheffield Utd
Jefferson Lerma,0.007519949577561467,MF,Crystal Palace
Cheick Doucouré,0.0031608533292140323,MF,Crystal Palace
Jordan Ayew,0.0025761422751893,MF,Crystal Palace
Eberechi Eze,0.004022764361825791,MF,Crystal Palace
Jeffrey Schlupp,0.002355371592337542,MF,Crystal Palace
Sandro Tonali,0.0021393608360653514,MF,Newcastle
Bruno Guimarães,0.014181922107183415,MF,Newcastle
Joelinton,0.004111448100718324,MF,Newcastle
Harvey Barnes,0.0007639280497669617,MF,Newcastle
Sean Longstaff,0.007134607165812799,MF,Newcastle
Jacob Murphy,0.0012191913628891125,MF,Newcastle
Elliot Anderson,0.002446865971220479,MF,Newcastle
Boubacar Kamara,0.008058601758343675,MF,Aston Villa
Douglas Luiz,0.014236248059629144,MF,Aston Villa
Leon Bailey,0.005834692938376041,MF,Aston Villa
Moussa Diaby,0.0030586032594501116,MF,Aston Villa
John McGinn,0.00920546407569976,MF,Aston Villa
Youri Tielemans,0.004354450685456763,MF,Aston Villa
Philippe Coutinho,0.0005153220941419877,MF,Aston Villa
Jaden Philogene-Bidace,0.0004825282013029177,MF,Aston Villa
Mathias Jensen,0.006641630059903198,MF,Brentford
Christian Nørgaard,0.00835531031482608,MF,Brentford
Vitaly Janelt,0.006649455082310509,MF,Brentford
Mikkel Damsgaard,0.002108772747405386,MF,Brentford
Shandon Baptiste,0.0008191092668124404,MF,Brentford
Kevin Schade,0.0005140056324395158,MF,Brentford
Oliver Skipp,0.001824998185558387,MF,Tottenham
Yves Bissouma,0.010366318365832527,MF,Tottenham
Dejan Kulusevski,0.010528910394212722,MF,Tottenham
James Maddison,0.012789999401289704,MF,Tottenham
Heung-min Son,0.004159829716984035,MF,Tottenham
Ivan Perišić,0.0006557327000572921,MF,Tottenham
Pape Matar Sarr,0.008214461299265131,MF,Tottenham
Reece James,0.0008568992378290751,MF,Chelsea
Enzo Fernández,0.009918687918878972,MF,Chelsea
Conor Gallagher,0.01380496003365017,MF,Chelsea
Ben Chilwell,0.0022432669870746714,MF,Chelsea
Mykhaylo Mudryk,0.003863682779525906,MF,Chelsea
Lesley Ugochukwu,0.0011784177483172597,MF,Chelsea
Dominik Szoboszlai,0.011693741841552639,MF,Liverpool
Alexis Mac Allister,0.013171074306269563,MF,Liverpool
Cody Gakpo,0.00104421160590141,MF,Liverpool
Curtis Jones,0.004217610179421936,MF,Liverpool
Harvey Elliott,0.004338457426915999,MF,Liverpool
Casemiro,0.005107076335439912,MF,Manchester United
Antony,0.0030940607865066853,MF,Manchester United
Bruno Fernandes,0.013256715531876753,MF,Manchester United
Mason Mount,0.001468759877036099,MF,Manchester United
Alejandro Garnacho,0.005897840489890678,MF,Manchester United
Christian Eriksen,0.0043984077630352825,MF,Manchester United
Facundo Pellistri,0.0006352806845876145,MF,Manchester United
Scott McTominay,0.003487237404428783,MF,Manchester United
Pedro Neto,0.0027304680347787734,MF,Wolves
João Gomes,0.006842270500422217,MF,Wolves
Mario Lemina,0.007575123643076257,MF,Wolves
Matheus Nunes,0.003324490220579675,MF,Manchester City
