Player,Score,Category,team
Javier Manquillo,0.004901303120557871,DF,Newcastle
Glen Johnson,0.0019366189211929281,DF,Stoke City
Joel Ward,0.005028489560900596,DF,Crystal Palace
Jeffrey Schlupp,0.004384258388002731,DF,Crystal Palace
Martin Kelly,0.0034493592558958704,DF,Crystal Palace
Arthur Masuaku,0.00197613115253825,DF,West Ham
Marc Albrighton,0.0011363716728110904,DF,Leicester
Ben Chilwell,0.006283215357655061,DF,Leicester
Jonny Evans,0.007630445478772221,DF,West Brom
Joe Gomez,0.008240197657072101,DF,Liverpool
Ragnar Klavan,0.006324306923281821,DF,Liverpool
James Milner,0.0017222819105330881,DF,Liverpool
Bruno Martins Indi,0.00357568353374929,DF,Stoke City
Kyle Bartley,0.0012575836502513693,DF,Swansea
Laurent Koscielny,0.010958022795239643,DF,Arsenal
Kiko Femenia,0.0034461446513053134,DF,Watford
Charlie Daniels,0.006791093641205286,DF,Bournemouth
Daley Blind,0.001762005692363828,DF,Manchester United
Serge Aurier,0.004213513287174146,DF,Tottenham
Geoff Cameron,0.0027387622747855654,DF,Stoke City
Ryan Fraser,0.0014269135077925855,DF,Bournemouth
Sebastian Prödl,0.005536715294362616,DF,Watford
Idrissa Gueye,0.0008640972505820648,DF,Everton
Emerson Palmieri,0.0007910801807600099,DF,Chelsea
Ben Mee,0.00791366663947705,DF,Burnley
Timothy Fosu-Mensah,0.006561767516629567,DF,Crystal Palace
Joël Matip,0.008461270230668335,DF,Liverpool
Miguel Britos,0.0031701541036082068,DF,Watford
Adam Smith,0.0046395045664012246,DF,Bournemouth
Konstantinos Stafylidis,0.0018377495709141838,DF,Stoke City
Mason Holgate,0.004052977680669669,DF,Everton
Markus Suttner,0.004276711142600211,DF,Brighton
Daniel Amartey,0.0024779155357887907,DF,Leicester
Winston Reid,0.0050782255426355385,DF,West Ham
Sam Byram,0.0009013014688851899,DF,West Ham
Ashley Williams,0.0057817822013313935,DF,Everton
Cuco Martina,0.006482942986763344,DF,Everton
Damien Delaney,0.001105860715598686,DF,Crystal Palace
Jonjoe Kenny,0.004663721540519138,DF,Everton
Matt Phillips,0.0012835230962825292,DF,West Brom
Eliaquim Mangala,0.0029264402584333804,DF,Everton
Charlie Taylor,0.0035070320188787677,DF,Burnley
David Luiz,0.0031847790600749585,DF,Chelsea
Ciaran Clark,0.004679953215250259,DF,Newcastle
Michael Hefele,0.0007739095797096317,DF,Huddersfield
Gareth McAuley,0.0019832209340739414,DF,West Brom
Phil Bardsley,0.0038428012177895068,DF,Burnley
Reece Oxford,0.0007782936865561207,DF,West Ham
Isaac Hayden,0.0012867174270146955,DF,Newcastle
Jaïro Riedewald,0.001205944785580845,DF,Crystal Palace
Molla Wagué,0.0018474243708677053,DF,Watford
Marvin Zeegelaar,0.002313402058940552,DF,Watford
Josh Tymon,0.00121726776062394,DF,Stoke City
Kevin Wimmer,0.00452446465757929,DF,Stoke City
Connor Roberts,0.0007962176064963839,DF,Swansea
Jérémy Pied,0.001605723605165552,DF,Southampton
