Player,Category,total_score,seasons_played,avg_score,team
Junior Firpo,DF,0.0100312304226281,2,0.00501561521131405,Leeds
Kevin Wimmer,DF,0.0099926472784905,3,0.0033308824261635,Stoke City
Taylor Harwood-Bellis,DF,0.0096877551333088,1,0.0096877551333088,Southampton
Kyle Bartley,DF,0.0096682778040008,3,0.0032227592680002665,West Brom
Alex Telles,DF,0.0096644577238674,2,0.0048322288619337,Manchester United
Tommy Smith,DF,0.009587809857223399,2,0.0047939049286116996,Huddersfield
Armel Bella-Kotchap,DF,0.0093228795773674,2,0.0046614397886837,Southampton
Teden Mengi,DF,0.0093201075356892,1,0.0093201075356892,Luton
Joe Worrall,DF,0.0091893065443336,2,0.0045946532721668,Nottingham Forest
Fabinho,DF,0.009072050265313901,3,0.003024016755104634,Liverpool
Jurriën Timber,DF,0.0090713368795211,2,0.00453566843976055,Arsenal
Kortney Hause,DF,0.0090639355162531,3,0.003021311838751033,Aston Villa
Rico Lewis,DF,0.0090552067749306,3,0.0030184022583102,Manchester City
Bernardo,DF,0.0090536143542224,3,0.0030178714514074666,Brighton
John Terry,DF,0.0090004662954331,2,0.00450023314771655,Chelsea
Romain Perraud,DF,0.0089602324457487,2,0.00448011622287435,Southampton
Nikola Milenković,DF,0.0088668957794285,1,0.0088668957794285,Nottingham Forest
Chris Löwe,DF,0.0088603779987385,2,0.00443018899936925,Huddersfield
Sepp van den Berg,DF,0.0088180870580204,1,0.0088180870580204,Brentford
Moussa Niakhaté,DF,0.0087845937977623,2,0.00439229689888115,Nottingham Forest
Conor Townsend,DF,0.0085029079691549,2,0.00425145398457745,Ipswich
Santiago Bueno,DF,0.008459503390978399,2,0.0042297516954891996,Wolves
Antonio Barragán,DF,0.008422568331354,1,0.008422568331354,Middlesbrough
Mike Van der Hoorn,DF,0.0083847898536754,2,0.0041923949268377,Swansea
Leander Dendoncker,DF,0.0083467651875186,2,0.0041733825937593,Wolves
Anel Ahmedhodžić,DF,0.0083401372334717,1,0.0083401372334717,Sheffield Utd
Curtis Davies,DF,0.0082861182193737,1,0.0082861182193737,Hull City
Connor Roberts,DF,0.008246735140680899,3,0.0027489117135602995,Burnley
Fikayo Tomori,DF,0.0082114614065255,3,0.002737153802175167,Chelsea
Nathan Patterson,DF,0.008161507916566401,3,0.002720502638855467,Everton
Yan Valery,DF,0.0081379643548593,5,0.00162759287097186,Southampton
Semi Ajayi,DF,0.0080763020031958,1,0.0080763020031958,West Brom
Russell Martin,DF,0.0079374813157579,1,0.0079374813157579,Norwich
Sol Bamba,DF,0.0078793222335779,1,0.0078793222335779,Cardiff
Bryan Oviedo,DF,0.0078343789423667,2,0.00391718947118335,Sunderland
Japhet Tanganga,DF,0.007770400280413901,4,0.0019426000701034752,Tottenham
Fabricio Coloccini,DF,0.0077589633743578,1,0.0077589633743578,Newcastle
Marc Muniesa,DF,0.007715275693951499,2,0.0038576378469757497,Stoke City
Kalidou Koulibaly,DF,0.0077022958978111,1,0.0077022958978111,Chelsea
Felipe,DF,0.007597547668895701,2,0.0037987738344478503,Nottingham Forest
Thilo Kehrer,DF,0.007572229223762801,2,0.0037861146118814003,West Ham
Lyanco,DF,0.0075595995549301,2,0.00377979977746505,Southampton
Matthijs de Ligt,DF,0.0075532807052052,1,0.0075532807052052,Manchester United
George Friend,DF,0.0074429058498034,1,0.0074429058498034,Middlesbrough
Kiko Femenía,DF,0.007371989414393,1,0.007371989414393,Watford
Noussair Mazraoui,DF,0.0073504717261565,1,0.0073504717261565,Manchester United
Chris Brunt,DF,0.0073421235927272,3,0.0024473745309090667,West Brom
Leif Davis,DF,0.0073253354435415,2,0.00366266772177075,Ipswich
Keane Lewis-Potter,DF,0.0073003093564959,1,0.0073003093564959,Brentford
Auston Trusty,DF,0.0072483613625494,1,0.0072483613625494,Sheffield Utd
Jonny Otto,DF,0.0072456868747727,4,0.001811421718693175,Wolves
Sebastien Bassong,DF,0.0072367306224014,1,0.0072367306224014,Norwich
Jarell Quansah,DF,0.007208094097590099,2,0.0036040470487950496,Liverpool
Joe Bennett,DF,0.0071820696938828,1,0.0071820696938828,Cardiff
Sean Morrison,DF,0.0071408743604513,1,0.0071408743604513,Cardiff
Jacob Murphy,DF,0.0071345200040741,3,0.0023781733346913666,Newcastle
Darnell Furlong,DF,0.007132574496356,1,0.007132574496356,West Brom
Radu Drăguşin,DF,0.0071088928178792005,2,0.0035544464089396002,Tottenham
Martin Škrtel,DF,0.0070869003834709,1,0.0070869003834709,Liverpool
Hassane Kamara,DF,0.0070814141064259,1,0.0070814141064259,Watford
Nathaniel Phillips,DF,0.0070772263189566,2,0.0035386131594783,Liverpool
Micah Richards,DF,0.0070387154278891,1,0.0070387154278891,Aston Villa
Isaac Hayden,DF,0.0070231049242771,5,0.00140462098485542,Newcastle
Jordi Amat,DF,0.0069904495498182995,2,0.0034952247749091498,Swansea
Joe Bryan,DF,0.0069502137853089995,2,0.0034751068926544997,Fulham
Jacob Greaves,DF,0.0069295916427462,1,0.0069295916427462,Ipswich
Jonas Olsson,DF,0.0069263202008288,2,0.0034631601004144,West Brom
Thomas Partey,DF,0.0068705968887643,3,0.0022901989629214334,Arsenal
Frédéric Guilbert,DF,0.0068678823038045,1,0.0068678823038045,Aston Villa
Aaron Hickey,DF,0.0067393252282197,2,0.00336966261410985,Brentford
Jean-Clair Todibo,DF,0.0067337050211063,1,0.0067337050211063,West Ham
Ozan Kabak,DF,0.0067075635541266,2,0.0033537817770633,Norwich
Djed Spence,DF,0.006662891199649699,2,0.0033314455998248497,Tottenham
Rasmus Kristensen,DF,0.0066557723138696,1,0.0066557723138696,Leeds
Florent Hadergjonaj,DF,0.0066307534870652,2,0.0033153767435326,Huddersfield
Eric García,DF,0.0065830733434238,2,0.0032915366717119,Manchester City
Pascal Groß,DF,0.0065809333218576,3,0.0021936444406192,Brighton
Amari'i Bell,DF,0.0065458922577214,1,0.0065458922577214,Luton
Gabriel Osho,DF,0.0065248131563471,1,0.0065248131563471,Luton
Tyrell Malacia,DF,0.0065110198378,2,0.0032555099189,Manchester United
Djibril Sidibé,DF,0.0065049636634754,1,0.0065049636634754,Everton
Fábio,DF,0.0064767821931532,1,0.0064767821931532,Middlesbrough
Declan Rice,DF,0.0064697745349598,2,0.0032348872674799,West Ham
Ezgjan Alioski,DF,0.0064499308729013,1,0.0064499308729013,Leeds
Pablo Marí,DF,0.0063837759606309,3,0.0021279253202103,Arsenal
Scott McKenna,DF,0.0063716538532803,2,0.00318582692664015,Nottingham Forest
Christoph Zimmermann,DF,0.0063655714317293,2,0.00318278571586465,Norwich
Harry Toffolo,DF,0.0063582105773134,3,0.0021194035257711334,Nottingham Forest
