Player,Team,fotmob_rating,minutes,matches,goals_per90,sot_per90,passes_per90,tackles_per90,interceptions_per90,blocks_per90,saves_per90,yellow_cards,red_cards,pens_conceded,assists_per90,big_chances_created_per90,Player_key,Team_key,Category,Score
Harrison Reed,Fulham,6.6,1324,27,0.0,0.1,41.9,1.2,0.7,0.6,0.0,6.0,0.0,0.0,0.1359516616314199,0.1359516616314199,harrison reed,fulham,MF,0.0033967982667319
Curtis Jones,Liverpool,6.6,1167,23,0.08,0.5,52.9,1.1,0.5,0.0,0.0,3.0,1.0,0.0,0.0771208226221079,0.0,curtis jones,liverpool,MF,0.0037288278821926
Zeki Amdouni,Burnley,6.6,1971,34,0.23,1.0,18.0,0.8,0.4,0.5,0.0,2.0,0.0,0.0,0.045662100456621,0.091324200913242,zeki amdouni,burnley,MF,0.0007071810198269
Zeki Amdouni,Burnley,6.6,1971,34,0.23,1.0,18.0,0.8,0.4,0.5,0.0,2.0,0.0,0.0,0.045662100456621,0.091324200913242,zeki amdouni,burnley,FW,0.0079251462529205
Mads Roerslev,Brentford,6.58,1987,34,0.05,0.0,18.9,1.4,0.9,0.1,0.0,1.0,0.0,0.0,0.0905888273779567,0.135883241066935,mads roerslev,brentford,DF,0.002514279273646
Mads Roerslev,Brentford,6.58,1987,34,0.05,0.0,18.9,1.4,0.9,0.1,0.0,1.0,0.0,0.0,0.0905888273779567,0.135883241066935,mads roerslev,brentford,MF,0.002905117362451
Moussa Niakhaté,Nottingham Forest,6.57,1457,21,0.06,0.1,36.3,1.5,0.9,0.7,0.0,3.0,1.0,0.0,0.0,0.0,moussa niakhate,nottingham forest,DF,0.0051982854559982
Mark Flekken,Brentford,6.56,3285,37,0.0,0.0,27.5,0.0,0.0,0.0,3.2,3.0,0.0,1.0,0.0273972602739726,0.0547945205479452,mark flekken,brentford,GK,0.0432698172704924
Sam Johnstone,Crystal Palace,6.56,1797,20,0.0,0.0,14.1,0.0,0.1,0.0,2.1,1.0,0.0,1.0,0.0,0.0,sam johnstone,crystal palace,GK,0.0248385479024276
Milos Kerkez,Bournemouth,6.54,1975,28,0.0,0.2,22.1,1.2,0.9,0.5,0.0,4.0,1.0,0.0,0.0455696202531645,0.1367088607594936,milos kerkez,bournemouth,DF,0.0050892992678805
Milos Kerkez,Bournemouth,6.54,1975,28,0.0,0.2,22.1,1.2,0.9,0.5,0.0,4.0,1.0,0.0,0.0455696202531645,0.1367088607594936,milos kerkez,bournemouth,MF,0.0006193192803484
Diego Carlos,Aston Villa,6.45,1811,27,0.0,0.0,58.8,0.8,0.6,0.9,0.0,4.0,0.0,0.0,0.0,0.0,diego carlos,aston villa,DF,0.0062833141470777
Vitinho,Burnley,6.44,2316,32,0.0,0.2,22.7,1.3,0.5,0.2,0.0,1.0,0.0,2.0,0.077720207253886,0.038860103626943,vitinho,burnley,DF,0.0054707571873279
Vitinho,Burnley,6.44,2316,32,0.0,0.2,22.7,1.3,0.5,0.2,0.0,1.0,0.0,2.0,0.077720207253886,0.038860103626943,vitinho,burnley,MF,0.0010167195072914
Beto,Everton,6.35,939,30,0.29,1.2,10.3,0.6,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.2875399361022364,beto,everton,FW,0.0050396740673324
